content,score,sentiment,clean
good,5,positif,good
puas,5,positif,puas
bagus,5,positif,bagus
Sangat memuaskan,5,positif,sangat memuaskan
bagus bisa beli ap aj,5,positif,bagus beli ap aj
"jangan mau jualan di shope sistem nya buruk, saya sebagai seller jualan di shope ketika pembeli mengembalikan barang dengan alasan kebohongan barang rusak, ternyata setelah sampai barang di tukar dengan batu, ketika sya ajukan banding malah di tolak sama shope, saya selaku seller kecewa, jangan pernah jualan di shope apalagi jika barang jualan anda bernilai besar.",1,negatif,jangan mau jualan shope sistem nya buruk sebagai seller jualan shope pembeli mengembalikan barang alasan kebohongan barang rusak ternyata sampai barang tukar batu sya ajukan banding malah tolak sama shope selaku seller kecewa jangan pernah jualan shope jika barang jualan bernilai besar
Shopee the best,5,positif,shopee the best
mantap,5,positif,mantap
bagus banget apalagi buat kaum mager jadi apa-apa serba cod,5,positif,bagus banget buat kaum mager jadi apaapa serba cod
"penanganan komplain sangat buruk, cs samasekali tidak membantu dan hanya muter-muter aj ngomongnya, tidak mendengarkan komplain dan hanya buru-buru mengakhiri kasus tanpa solusi, suara tidak jelas dan berisik. semuanya jelek, apk suka error dll.",1,negatif,penanganan komplain sangat buruk cs samasekali membantu hanya mutermuter aj ngomongnya mendengarkan komplain hanya buruburu mengakhiri kasus solusi suara jelas berisik semuanya jelek apk suka error
kenapa pengiriman Surabaya Kalimantan Selatan lambat sekali tolong di bantu,2,negatif,pengiriman surabaya kalimantan selatan lambat sekali di bantu
apk blanja paling nomer satu kalo menurut saya..,5,positif,apk blanja paling nomer satu kalo saya
oke,5,positif,oke
mantap,5,positif,mantap
order via instan yg notabene 2jam -4jam. ini sudah mau sehari blm ada yg pickup alias alasan sedang mencari kurir. voucher pun terlaku banyak S&K nya banyak gimmick,1,negatif,order via instan yg notabene jam jam sudah mau sehari blm yg pickup alias alasan sedang mencari kurir voucher terlaku banyak sk nya banyak gimmick
"belanja di shopee membuat saya merdeka,bebas memilih dengan kocek terjangkau.",5,positif,belanja shopee membuat merdekabebas memilih kocek terjangkau
aplikasi yg simpel untuk belanja,5,positif,aplikasi yg simpel belanja
keren,5,positif,keren
terlalu mantap,5,positif,terlalu mantap
selalu update,1,negatif,selalu update
maaf ya bintang 1 soalnya muncul mulu iklannya apalagi klw buka wp skrol bacaan dikit iklanmu muncul trus klw soal muda belanja bintang 5 tapi bisa tdik ngak usah muncul2 iklanmu,1,negatif,maaf bintang  soalnya muncul mulu iklannya klw buka wp skrol bacaan dikit iklanmu muncul trus klw soal muda belanja bintang  bisa tdik ngak usah muncul iklanmu
mengesankan layanan yang baik dan dpt dipercaya,5,positif,mengesankan layanan baik dpt dipercaya
sangat Memuaskan dalam Pelayanan Dan Selalu tepat waktu,5,positif,sangat memuaskan pelayanan selalu tepat waktu
sangat bagus,5,positif,sangat bagus
sesuai pesanan mantaf,5,positif,sesuai pesanan mantaf
"Saya ngasih bintang 2 karena shopee affiliate saya di blokir , padahalsaya posting video tidak vulgar tapi kenapa malah langsung di blokir dan banding pun di tolak, sangat kecewa sekali..",2,negatif,ngasih bintang  shopee affiliate blokir  padahalsaya posting video vulgar kenapa malah langsung di blokir banding di tolak sangat kecewa sekali
Kenapa pas saya coba ganti nama selalu saja ngebug bikin kesel. sejauh ini udah bagus updatenyaa thankss minnn,5,positif,pas coba ganti nama selalu ngebug bikin kesel sejauh udah bagus updatenyaa thankss minnn
🤟🏻,5,positif,
semuanya baik semua.,5,positif,semuanya baik semua
mantap,5,positif,mantap
saya sangat terbantu dengan shopee dan gampang di dalam berbenja 🙏selalu jadi yang terbaik shopee💪,5,positif,sangat terbantu shopee gampang dalam berbenja selalu jadi terbaik shopee
"aplikasi shopee memudahkan saya untuk belanja barang baik pakaian,kosmetik,kebutuhan sehari2,karpet dll",5,positif,aplikasi shopee memudahkan untuk belanja barang baik pakaiankosmetikkebutuhan seharikarpet
"sgt membantu ka, saya suka belanja online lwt apk ini",5,positif,sgt membantu ka suka belanja online lwt apk
paket lama sampai,1,negatif,paket lama
moyet gabisa masen,1,negatif,moyet gabisa masen
aplikasinya bagus cuma agak lambat kaya gandet - gandet tapi aku beri bintang 5 kok makasih ya udah bikin shopee,5,positif,aplikasinya bagus cuma lambat kaya gandet  gandet aku beri bintang  kok makasih udah bikin shopee
𝙆𝙡𝙪 𝙢𝙖𝙨𝙖𝙡𝙖𝙝 𝙥𝙚𝙣𝙟𝙪𝙖𝙡𝙖𝙣 𝙗𝙖𝙧𝙖𝙣𝙜 𝙤𝙣𝙡𝙞𝙣𝙚 𝙡𝙚𝙣𝙜𝙠𝙖𝙥..𝙤𝙠𝙚..𝙝𝙖𝙣𝙮𝙖 𝙟𝙖𝙨𝙖 𝙥𝙣𝙜𝙞𝙧𝙞𝙢𝙖𝙣 𝙣𝙮 𝙗𝙚𝙧𝙠𝙖𝙡𝙞2 𝙗𝙞𝙠𝙞𝙣 𝙠𝙚𝙘𝙚𝙬𝙖...𝙏𝙞𝙙𝙖𝙠 𝙗𝙚𝙧𝙚𝙨 👎👎👎,1,negatif,             
luar biasa bagus,5,positif,luar biasa bagus
lumayan ada perubahan perbaikan baik dari seller mau pun spx nya,5,positif,lumayan perubahan perbaikan baik seller mau spx nya
pengiriman selalu baik dengan kurir yang ramah,5,positif,pengiriman selalu baik kurir ramah
sangat bagus dan dapat banyak voucher dan murah,5,positif,sangat bagus dapat banyak voucher murah
bagus sesuai dg pesanan trimakasih kurir,5,positif,bagus sesuai dg pesanan trimakasih kurir
uang 💸💸,3,netral,uang 
perlu pemberitahuan yang akurat lagi,5,positif,perlu pemberitahuan akurat
baguss,5,positif,baguss
"Aplikasi Spinjam tidak aman, kita mau screenshot detail cicilan untuk data berapa kali sisah pembayaran. Tidak bisa donk, anehh sekali. padahal itu keamanan untuk konsumen, agar mereka juga memiliki data. di Pinjaman Gojek, Kredivo dan Bank saja bisa, jadi konsumen merasa aman dan memiliki data dan cicilan. Jika seperti ini, bisa mudah dimanipulasi oleh aplikasi. Karena konsumen tidak memiliki bukti atau data, tentang cicilan!! bahaya, nihh... aplikasi!",1,negatif,aplikasi spinjam aman mau screenshot detail cicilan data berapa kali sisah pembayaran bisa donk anehh sekali padahal keamanan konsumen mereka memiliki data pinjaman gojek kredivo bank bisa jadi konsumen merasa aman memiliki data cicilan seperti bisa mudah dimanipulasi aplikasi konsumen memiliki bukti data cicilan bahaya nihh aplikasi
baik,5,positif,baik
Oke belaja di shoope,5,positif,oke belaja shoope
"Perusahan Start-up yg sangat mudah memberikan sanki kepada penggunanya tanpa KAJIAN matang! akun customer mudah kena banned oleh sistem yang dirancang terlalu sensitif!! nice, cuma di aplikasi ini yang terlalu belagu! gak ada customer bisa apa lu. next, TERLALU MUDAH MEMBERIKAN POINT PENALTI KEPADA MERCHANT DAN MITRA DRIVER. KALO KESALAHAN SEPELE KENA POINT LAMA2 NUMPUK JADI PENALTI FINAL, AKIBATNYA YA DAMPAK KE CUSTOMER YG SUSAH DAPAT DRIVER. KRISIS DRIVER SFOOD, SIA2 CUSTOMER BELI SHOPEEVIP!!",1,negatif,perusahan startup yg sangat mudah memberikan sanki penggunanya kajian matang akun customer mudah kena banned sistem dirancang terlalu sensitif nice cuma aplikasi yang terlalu belagu gak customer apa lu next terlalu mudah memberikan point penalti merchant mitra driver kalo kesalahan sepele kena point lama numpuk jadi penalti final akibatnya dampak customer yg susah driver krisis driver sfood sia customer beli shopeevip
shopee sangat terasa beda dengan yang dulu sekarang semakin lelet dan sering mengalami keterlambatan kirim bahkan gagal kirim dari toko saya sangat kecewa dengan pelayanannya saat ini,1,negatif,shopee sangat terasa beda yang dulu sekarang semakin lelet sering mengalami keterlambatan kirim bahkan gagal kirim toko sangat kecewa pelayanannya ini
cs-nya nggk sopan. masa telfon saya marah-marah karena saya komplain barang saya tidak sampai padahal sudah lewat dari estimasi.,1,negatif,csnya nggk sopan masa telfon marahmarah komplain barang saya tidak padahal lewat estimasi
cukup puas belanja di shopee...,5,positif,cukup puas belanja shopee
untuk mempermudah dalam pembelian barang,5,positif,mempermudah pembelian barang
sangat membantu,5,positif,sangat membantu
trimakasih barangnya sudah sampai,5,positif,trimakasih barangnya sampai
kurir shopee busuk... pengantaran sering kali telat .. main cancel sepihak tanpa sepengetahuan custmer...,5,positif,kurir shopee busuk pengantaran sering kali telat  main cancel sepihak sepengetahuan custmer
"najis bgt, iklan dimana mana. bukan itu masalah nya, bahkan paket nya pun lama banget tiba nya, kadang ngelewatin tanggal estiminasi, trus setiap komplain gampang bgt nyuruh sabar dan nunggu, ga semua bisa nunggu, dipikir nunggu gampang? ngga. beberapa orng ada yg mepet, buru buru, plc ngertiin deh kasih kabar deh minimal , ""tekan untuk informasikan ke jasa kirim"" udh di klik beberapa kali tapi kaya nya ga ngaruh apa apa ke paket ya..",1,negatif,najis bgt iklan mana bukan masalah nya bahkan paket nya lama banget tiba nya kadang ngelewatin tanggal estiminasi trus komplain gampang bgt nyuruh sabar nunggu ga semua nunggu dipikir nunggu gampang ngga beberapa orng yg mepet buru buru plc ngertiin deh kasih kabar deh minimal  tekan informasikan jasa kirim udh klik beberapa kali kaya nya ga ngaruh apa apa paket
tidak sesuai dengan pesanan,1,negatif,sesuai pesanan
belanja mudah dan cepat serta pengiriman yg senantiasa top,5,positif,belanja mudah cepat pengiriman yg senantiasa top
order d shopee sangat mudah.,5,positif,order d shopee sangat mudah
"sumpah ya, gue benci banget ama iklan ini apk. KEK BISA GAK SIH GAUSAH MUNCUL PAS ENGGAK DIPENCET? sampah, ganggu banget!",2,negatif,sumpah gue benci banget ama iklan apk kek gak sih gausah muncul pas enggak dipencet sampah ganggu banget
puas,5,positif,puas
ok,5,positif,
Shopee kenapa susah napilkan gambar obat resep seperti salbutamol obat asma,5,positif,shopee susah napilkan gambar obat resep salbutamol obat asma
belanja dishope selalu memuaskan .semoga selalu amanah ya,5,positif,belanja dishope selalu memuaskan semoga selalu amanah
"bgus si sebenarnya,tpi yg bkin muak itu iklan shopee yg lwat ,maaf ya, maksa bgt ni iklan oi.izinn",2,negatif,bgus si sebenarnyatpi yg bkin muak iklan shopee yg lwat maaf maksa bgt ni iklan oiizinn
shopee mantap,5,positif,shopee mantap
"apk sebenernya bagus, cuma minus di pengiriman barang telat, mohon di perhatikan lagi untuk kurir yang mengirim paket agar tidak telat, telat 1 hari 2 hari oke lah, ini telat 4 hari pengiriman barang tertunda terus",1,negatif,apk sebenernya bagus cuma minus pengiriman barang telat mohon perhatikan untuk kurir mengirim paket tidak telat telat  hari  hari oke lah telat  hari pengiriman barang tertunda terus
jujur amanah,5,positif,jujur amanah
belanja jadi mudah tinggal pilih bayar belakangan,5,positif,belanja jadi mudah tinggal pilih bayar belakangan
bagguuuss,5,positif,bagguuuss
mantap pokonya,5,positif,mantap pokonya
"Dari pertama belanja online saya selalu pake shopee ga pernah ka toko Laen bahkan temen q yg pake toko ungu ku ajak pake shopee karena dlm pengiriman selalu cepat,tp sekarang ampun pengiriman lelet sekali seminggu lebih bahkan sampai barang ga nyampe malah balik LG ke pengirim",5,positif,pertama belanja online selalu pake shopee ga pernah ka toko laen bahkan temen q yg pake toko ungu ku ajak pake shopee dlm pengiriman selalu cepattp sekarang ampun pengiriman lelet sekali seminggu lebih bahkan barang ga nyampe malah balik lg pengirim
"IKLAN NYA NGESELIN BANGET SUMPAH DEHH..jangan iklan mulu plis lagi enak enak baca wp tiba"" kebuka ni apk pdhl ga di pencet..jangan terlalu di paksa plis iklan nya..sebenar ny kalo buat belanja ok lah,CUMAN IKLAN NYA DI KURANGIN KALO BISA GAADA...",2,negatif,iklan nya ngeselin banget sumpah dehhjangan iklan mulu plis enak enak baca wp tiba kebuka ni apk pdhl ga pencetjangan terlalu paksa plis iklan nyasebenar ny kalo buat belanja lahcuman iklan nya kurangin kalo gaada
ok,5,positif,
ok,5,positif,
shoope memberikan pelayan lebih dari yang kami harapkan baik dari dr barang maupun jasa,5,positif,shoope memberikan pelayan lebih yang harapkan baik dr barang maupun jasa
"ni sengaja kukasih bintang 5 biar teratas, tolong baca ketikan saya min, saya pas mau checkout barang, stuck. 10 mnt an di tampilan sedang dialihkan Mulu, dah 2x nyoba nunggu lama bgt masih stuck disitu , udh gitu katanya nomer ku udh ke daftar di shope , pdhl blum samsek , kalo dibilang masalah jaringan gak mungkin , soalnya jaringan saya sudah bagus bgt",5,positif,ni sengaja kukasih bintang  biar teratas baca ketikan min pas mau checkout barang stuck  mnt an tampilan sedang dialihkan mulu dah x nyoba nunggu lama bgt stuck disitu  udh gitu katanya nomer ku udh daftar shope  pdhl blum samsek  kalo dibilang masalah jaringan gak mungkin  soalnya jaringan sudah bagus bgt
"pelayanan nya bagus,, barangny sesuai dgn pesanan dan tdk mengecewakan konsumen",5,positif,pelayanan nya bagus barangny sesuai dgn pesanan tdk mengecewakan konsumen
jos,5,positif,jos
"mudah digunakan, fitur2 juga user friendly",5,positif,mudah digunakan fitur user friendly
"Market place yang profesional, terdengar, dan kredible. Saya puas belanja di shopee. Terima kasih. sy berlangganan dan cukup puas. harga menarik dan banyak diskonnya. pengembalian dana sangat CEPAT sekali. 👍👍👍👍👍👍👍👍👍👍👍👍👍❤️❤️❤️❤️❤️🙏❤️🙏❤️🙏",5,positif,market place profesional terdengar kredible puas belanja shopee terima kasih sy berlangganan cukup puas harga menarik banyak diskonnya pengembalian dana sangat cepat sekali 
Semoga lancar terus,5,positif,semoga lancar terus
sangat membantuu,5,positif,sangat membantuu
gak bisa verifikasi wajah,2,negatif,gak verifikasi wajah
"Aplikasi nya tidak bisa Ter instal, Padahal sudah 100 persen, dan ruang penyimpanan data nya masih banyak edit: GK papa admin, mungkin hp saya yg harus di ganti, tambahan admin reaksinya cepet banget, mantap pokoknya top markotop",1,negatif,aplikasi nya bisa ter instal padahal  persen ruang penyimpanan data nya banyak edit gk papa admin mungkin hp yg di ganti tambahan admin reaksinya cepet banget mantap pokoknya top markotop
syh kecewa dengan pelayanan Shopee barang syh smpe skrng blm nympe2 pdhl barang dh nyampe DC kopo tavi smpe skrng blm ada tanda2 nyampe DC Cimahi dari tnggl 4 smpe skrng masih di bndung Kopo ..,1,negatif,syh kecewa pelayanan shopee barang syh smpe skrng blm nympe pdhl barang dh nyampe dc kopo tavi smpe skrng blm tanda nyampe dc cimahi tnggl  smpe skrng di bndung kopo 
mantab banget gan,5,positif,mantab banget gan
"untuk developer kenapa saya kalo pesan suka di batalkan di tengah jalan, sama toko yang saya pesan,terus malah akun saya yang kena,jadi gak pernah COD padahal bukan saya yg salah ,untuk developer lebih cermat lagi lah . bikin resah..",2,negatif,developer kalo pesan suka batalkan tengah jalan sama toko pesanterus malah akun saya yang kenajadi gak pernah cod padahal bukan saya yg salah developer lebih cermat lah  bikin resah
belanja sangat memuaskan barang 100% Original,5,positif,belanja sangat memuaskan barang  original
"Barang yg ditampilkan yang paling bagus tapi harganya murah, jangan rertipu kawan......",2,negatif,barang yg ditampilkan paling bagus harganya murah jangan rertipu kawan
cepat bagus tepat waktu. ok pokoknya,5,positif,cepat bagus tepat waktu pokoknya
"Kurir sampah bgt pelayanannya. Udah tau barang FRAGILE tapi malah di lempar. Udah gitu seller toko jg gk bisa diajak diskusi, minta pengembalian dana gak bisa. Dulu gw suka belanja disini, tapi sekarang gak akan pernah lagi. Bye",1,negatif,kurir sampah bgt pelayanannya udah tau barang fragile malah lempar udah gitu seller toko jg gk diajak diskusi minta pengembalian dana gak dulu gw suka belanja disini sekarang gak pernah bye
Membantu kita memenuhi kebutuhan meskipun dirumah aja,5,positif,membantu memenuhi kebutuhan meskipun dirumah aja
Tingkatkan terus pelayanan yg lebih simple,5,positif,tingkatkan terus pelayanan yg lebih simple
saya kecewa dgn shope.stiap saya beli walaupun COD saya selalu bayar dan sudah beberapa kali saya bayar tanpa COD bayar tf rekening tp hari ini saya pesan kemeja saya sudah bayar dan ada bukti tf dan pesan.. tp kurir dtg antar brg katanya blm di bayar .please tolong kl brg yg udh cekout hrp di cek ulang brgnya udh di bayar apa cod..krn saya tf rekning bkn cod,1,negatif,kecewa dgn shopestiap beli walaupun cod selalu bayar sudah beberapa kali bayar cod bayar tf rekening tp hari pesan kemeja sudah bayar ada bukti tf pesan tp kurir dtg antar brg katanya blm bayar please kl brg yg udh cekout hrp cek ulang brgnya udh bayar apa codkrn saya tf rekning bkn cod
mantap,4,positif,mantap
"harusnya yang kurir juga bisa complain untuk buyer² yang rumit kalau masalah cod, bukan hanya buyer saja.",5,positif,harusnya kurir bisa complain buyer rumit kalau masalah cod bukan buyer
"setelah update , sering force close sendiri buffering lama pula kadang..",1,negatif,update  sering force close sendiri buffering lama kadang
oke,5,positif,oke
"semakin lama aja pengiriman di sini,jadi malas belanja di shopee,laammaaa",1,negatif,semakin lama aja pengiriman sinijadi malas belanja shopeelaammaaa
sangat membaut,5,positif,sangat membaut
shopee top banget👍,5,positif,shopee top banget
iklan dimana mana asw,1,negatif,iklan mana asw
membantu segala kebutuham,5,positif,membantu segala kebutuham
"Shopee merupakan salah satu flatform berbelanja online yg saya suka. Dengan berbagai macam fitur dan penawaran harga terbaik. Bisa COD lagi, asyik.... Semoga berjaya terus Shopee 💯👍👍👍👍👍",5,positif,shopee merupakan salah satu flatform berbelanja online yg suka berbagai macam fitur penawaran harga terbaik cod asyik semoga berjaya terus shopee 
"udah platinum akun ku , masih aja mau chat CS prioritas ngantri sampek 16 org ,, sengaja ini mah , gak ngaruh mau prioritas apa enggak , makin kesini makin menjengkelkan shopee ni",1,negatif,udah platinum akun ku  aja mau chat cs prioritas ngantri sampek  org  sengaja mah  gak ngaruh mau prioritas apa enggak  makin kesini makin menjengkelkan shopee ni
"Simpel, Lengkap, Mudah, Hemat.",5,positif,simpel lengkap mudah hemat
iklan lu dimana mana anj,1,negatif,iklan lu mana anj
"mesen barang pake instant 4jam, 2hari belum di kirim² juga sama aja kayak gapake instant",1,negatif,mesen barang pake instant jam hari di kirim sama aja kayak gapake instant
sangat bagus belanja lebih gampang. banyak gratis ongkirnya. terimakasih shopee,5,positif,sangat bagus belanja lebih gampang banyak gratis ongkirnya terimakasih shopee
"Menyenangkan pokok e pake shopee belanja lebih aman dan nyaman, lebih murah sukses selalu shopee",5,positif,menyenangkan pokok e pake shopee belanja lebih aman nyaman lebih murah sukses selalu shopee
"bagusss, cuma biaya ongkir nya dibuat lebih murah lagi dong hehe",5,positif,bagusss cuma biaya ongkir nya dibuat lebih murah dong hehe
"gmn si min? paket ku dh lewat estimasi masi aja di proses, dikira gmau di pake gt brang nya? tlg la kerjasama nya min, ksbaran org jg beda"". di tmbah paket di tunda kirim 2 kali BISA GILA saya",1,negatif,gmn si min paket ku dh lewat estimasi masi aja proses dikira gmau pake gt brang nya tlg la kerjasama nya min ksbaran org jg beda tmbah paket tunda kirim  kali gila
good,5,positif,good
"tiba tiba banget ada subtotal ukuran khusus yg harganya ngga kira"" mehong. hadeuhhh ngga bakal deh beli barang yg ada subtotal ukuran khusus nya mending beli di e-commerce lain byeeee",1,negatif,tiba tiba banget subtotal ukuran khusus yg harganya ngga kira mehong hadeuhhh ngga bakal deh beli barang yg subtotal ukuran khusus nya mending beli ecommerce byeeee
bagus,5,positif,bagus
Shoope memang the best 👍👍👍,5,positif,shoope memang the best 
"Terimakasih untuk shopee yang selama ini sudah mempermudah saya dalam berbelanja diberbagai kebutuhan saya, sehingga saya sangat terbantu untuk itu, dan semoga kedepanya shopee akan lebih baik lagi dalam memberikan pelayanan kepada semua pelangganya, sekali lagi terimakasih🙏🙏🙏.",5,positif,terimakasih shopee selama sudah mempermudah dalam berbelanja diberbagai kebutuhan sehingga sangat terbantu itu semoga kedepanya shopee lebih baik dalam memberikan pelayanan semua pelangganya sekali terimakasih
Cukup memuaskan dari barang yg sudah saya terima..TQ shopee,5,positif,cukup memuaskan barang yg saya terimatq shopee
"Kenyataannya kualitas layanan pengiriman memakai ekspedisi shopee sendiri yaitu SPX Express sangat terlalu dipaksakan dan SPX Express sering overload dan sangat lama dalam pengirimannya dan sudah sangat banyak yang merasakannya,pesanan pembeli sangat sering terhambat pengirimannya,Lebih baik pihak shopee mau untuk bekerja sama kembali dengan berbagai ekspedisi lain,Supaya pembeli dan penjual jadi punya lebih banyak layanan pilihan ekspedisi dan kualitas layanan lebih baik di shopee.",1,negatif,kenyataannya kualitas layanan pengiriman memakai ekspedisi shopee sendiri spx express sangat terlalu dipaksakan spx express sering overload sangat lama pengirimannya sudah sangat banyak merasakannyapesanan pembeli sangat sering terhambat pengirimannyalebih baik pihak shopee mau bekerja sama dengan berbagai ekspedisi lainsupaya pembeli penjual jadi punya lebih banyak layanan pilihan ekspedisi kualitas layanan lebih baik shopee
mudah belanja disini,5,positif,mudah belanja disini
shopee mantap,5,positif,shopee mantap
sangat membantu dalam dunia bisnis,5,positif,sangat membantu dunia bisnis
"saya pesan barang pre order, sudah menunggu sebulan lebih, dan belum sampai, melebihi waktu estimasinya. tiba tiba malah diretur oleh shopee secara sepihak.. apa apaan ini.. sangat kecewa..",1,negatif,pesan barang pre order menunggu sebulan lebih belum melebihi waktu estimasinya tiba tiba malah diretur shopee sepihak apa apaan sangat kecewa
Terima kasih shoope saya bisa belanja apa yang saya dibutuhkan semoga selalu lebih baik untuk shoope,5,positif,terima kasih shoope bisa belanja apa saya dibutuhkan semoga selalu lebih baik shoope
kenapa ada notifikasi flash sale yang mengganggu padahal sudah dinonaktifkan,1,negatif,ada notifikasi flash sale mengganggu padahal dinonaktifkan
mantap,5,positif,mantap
"Dulu belanja Rp30.000 sudah bisa gratis ongkir reguler dan hemat,Sekarang harus sampai Rp200.000 untuk gratis ongkir reguler,terasa memberatkan.Dan pilihan ekspedisi sangat dipaksakan ke SPX Express,Ini ekspedisi shopee sendiri dan pengirimannya sangat lambat dan tidak ada perbaikan di lapangan.Mendingan Shopee mau buka kembali kerja sama dengan ekspedisi lain agar pembeli dan penjual punya lebih banyak pilihan ekspedisi dan layanan lebih baik.Dan tidak terlalu memaksakan layanan SPX Express.",1,negatif,dulu belanja rp bisa gratis ongkir reguler hematsekarang sampai rp gratis ongkir regulerterasa memberatkandan pilihan ekspedisi sangat dipaksakan spx expressini ekspedisi shopee sendiri pengirimannya sangat lambat perbaikan lapanganmendingan shopee mau buka kerja sama ekspedisi agar pembeli penjual punya lebih banyak pilihan ekspedisi layanan lebih baikdan tidak terlalu memaksakan layanan spx express
Belanja jd lebih mudah dan bisa dari mana saja dan kapan saja.,5,positif,belanja jd lebih mudah bisa mana dan kapan
selama ini dalam pengalaman aman dan tak pernah mengecewakan,5,positif,selama dalam pengalaman aman tak pernah mengecewakan
kereeennn,5,positif,kereeennn
baik,5,positif,baik
"bagus,kurir baik",5,positif,baguskurir baik
harga yang tidak normal banyak biaya layanan yg tidak masuk akal,1,negatif,harga normal banyak biaya layanan yg tidak masuk akal
bagus,3,netral,bagus
sangat bagus,5,positif,sangat bagus
"saya sangat puas dengan pelayanan shopee,selain hrga terjangkau,kualitas mewah dan amanah.",5,positif,sangat puas pelayanan shopeeselain hrga terjangkaukualitas mewah amanah
pokoknya top banget tidak mengecewakan,5,positif,pokoknya top banget mengecewakan
mantap,5,positif,mantap
ya aplikasi nya emang enak kalo mau belanja online tapi kenapa kalo iklan nya spam terus yaa tolong lah jangan di spam iklan nya,2,negatif,aplikasi nya emang enak kalo mau belanja online kenapa kalo iklan nya spam terus yaa lah jangan spam iklan nya
shopee sangat membantu tanpa harus repot....,5,positif,shopee sangat membantu harus repot
membantu sekali saya jadi pengen jual toko,5,positif,membantu sekali jadi pengen jual toko
puas,5,positif,puas
"inti daripada initi penilaian ku adalah... SHOPPE IS THE BEST, CUSTOMER ORIENTED,FAST RESPON dan tentunya selalu memanjakan pelanggannya dengan harga termurah dengan barang kualitas terbaik. SUCCESS & GBU... GREAT JOB!!!??",5,positif,inti initi penilaian ku shoppe is the best customer orientedfast respon tentunya selalu memanjakan pelanggannya harga termurah barang kualitas terbaik success  gbu great job
shope parah udah drivernya di siksa dengan argo yg rusak dan barang yg gak ngotak besarnya sellernya juga kasian banyak kena potongannya cari duit di Indonesia tapi gk ada tanggung jawabnya sama sekali,1,negatif,shope parah udah drivernya siksa argo yg rusak barang yg gak ngotak besarnya sellernya kasian banyak kena potongannya cari duit indonesia gk tanggung jawabnya sama sekali
Shoope pengirimannya cepat,5,positif,shoope pengirimannya cepat
"saya pesan paket udah 1 minggu lebih.belum juga di datang,mengecewakan,",1,negatif,pesan paket udah  minggu lebihbelum di datangmengecewakan
"senang bnget belanja di shopee Harga murah & diskon, tapi kenapa setiap buka aplikasi shopee selalu lemot banget, padahal hp aku ram nya besar..",4,positif,senang bnget belanja shopee harga murah  diskon kenapa buka aplikasi shopee selalu lemot banget padahal hp aku ram nya besar
rekomended,5,positif,rekomended
sangat bagus,4,positif,sangat bagus
ok pisan,5,positif,pisan
sukses terus shopee,5,positif,sukses terus shopee
applikasi shopping termurah diindonesia...,5,positif,applikasi shopping termurah diindonesia
"mesen paket lama nyampenya, mesen makanan lama dapet drivernya",2,negatif,mesen paket lama nyampenya mesen makanan lama dapet drivernya
kemaren paket cod saya direturn semua dg alasan ditolak pembeli sedangkan kurir nggak ada ba bi Bu ke rumah tolong diperbaiki pelayanan ekspedisinya 🙏,2,negatif,kemaren paket cod direturn semua dg alasan ditolak pembeli kurir ada ba bi bu rumah diperbaiki pelayanan ekspedisinya 
pengirimann selalu terlambat dan di retur kasian konsumen sudah mau nunggu berhari² tapi diretur pihak sopee tolong perbaiki hal yg seperti ini,1,negatif,pengirimann selalu terlambat di retur kasian konsumen mau nunggu berhari diretur pihak sopee perbaiki yg ini
bagus aja,5,positif,bagus aja
oke sangat sangat baik sesuai,4,positif,oke sangat sangat baik sesuai
produknya bagus tagihan sesuai terimakasih banyak untuk Shopee,5,positif,produknya bagus tagihan sesuai terimakasih banyak shopee
"saya ga tau knp Shopee skrg banyak seller2 penipu, terutama sller2 froozen food.saya sudah 3x beli d toko yg berbeda, semua barangnya busuk ga bisa dimakan, d komplain ga Terima, bahkan saya sampe mendapat ancaman karna dia tau alamat kantor sy. lucu bgt privasi pembeli ga d lindungi sama sekali.sampe dia berani datang ke kantor dan meminta uang untuk membayar barang busuk yg dia kirim, karna pihak Shopee mengembalikan dana saya.,bikin sy malu sama org2 kantor.",2,negatif,ga tau knp shopee skrg banyak seller penipu terutama sller froozen foodsaya x beli d toko yg berbeda semua barangnya busuk ga dimakan d komplain ga terima bahkan sampe mendapat ancaman karna tau alamat kantor sy lucu bgt privasi pembeli ga d lindungi sama sekalisampe berani datang kantor meminta uang membayar barang busuk yg kirim karna pihak shopee mengembalikan dana sayabikin sy malu sama org kantor
"ini aplikasiny bagus bngt, barangny juga gemes dan lucu² lebih ada ongkir dn murah makasih untuk aplikasinya y",5,positif,aplikasiny bagus bngt barangny gemes lucu lebih ongkir dn murah makasih aplikasinya y
Bagus sekali.... Belanja online saya lancar dengan COD.... Dengan android toucreen OPPO A83 4G [RAM 2 Gigabit ROM 16 Gigabit ] yang saya gunakan. Namun ada permintaan perangkat yang harus dilengkapi ....😴😴😴😴😴😴😴😴😴😴😴😴 Hingga kekecewaan terjadi karena harus dan mempengaruhi sistem aplikasi lainnya hingga tidak bisa mengakses dengan baik. Seperti gratis ongkir dan banyak lainnya....... 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,positif,bagus sekali belanja online lancar cod android toucreen oppo a g ram  gigabit rom  gigabit  saya gunakan ada permintaan perangkat harus dilengkapi  hingga kekecewaan terjadi harus mempengaruhi sistem aplikasi lainnya hingga bisa mengakses baik gratis ongkir banyak lainnya 
